"","ukr","en","NOTES – use \n for newline","max length"
"current_language","Ukraïnsjkaaa","English","",""
"booktitle00","Smarağdova skryžalj - Tom I","Emerald Tablet - volume I","doesn't need to be translated",""
"bookdesc00","Tis true without lying, certain and most true.\nThat which is below is like that which is above\nand that which is above is like that which is below\nto do the miracles of one only thing.\nAnd as all things have been and arose from one by the mediation of one: \nso all things have their birth from this one thing by adaptation.","Tis true without lying, certain and most true.\nThat which is below is like that which is above\nand that which is above is like that which is below\nto do the miracles of one only thing.\nAnd as all things have been and arose from one by the mediation of one: \nso all things have their birth from this one thing by adaptation.","doesn't need to be translated",""
"booktitle01","Smarağdova skryžalj Tota","Emerald Tablet of Thoth","doesn't need to be translated",""
"bookdesc01","The necessity of concealing the Art is\none of the chief anxieties of alchemists. \nWe are sworn to secrecy by heaven and earth and hell,\nby the four elements, by the height and the depth,\nby Hermes, by Anubis,and by the howlings of Kerkoros.\nAn oath has been required of us to reveal\nnothing clearly to any uninitiated being.","The necessity of concealing the Art is\none of the chief anxieties of alchemists. \nWe are sworn to secrecy by heaven and earth and hell,\nby the four elements, by the height and the depth,\nby Hermes, by Anubis,and by the howlings of Kerkoros.\nAn oath has been required of us to reveal\nnothing clearly to any uninitiated being.","doesn't need to be translated",""
"booktitle02","Smarağdova skryžalj - Tom II","Emerald Tablet - volume II","doesn't need to be translated",""
"bookdesc02","Thence is born a spirit white as snow,\nand another spirit red as blood,\nwhich two spirits are contained in a third hidden thing.","Thence is born a spirit white as snow, \nand another spirit red as blood,\nwhich two spirits are contained in a third hidden thing.","doesn't need to be translated",""
"booktitle03","Smarağdova skryžalj - Tom III","Emerald Tablet - volume III","doesn't need to be translated",""
"bookdesc03","Heed my warning or death and decay will follow.","Heed my warning or death and decay will follow.","doesn't need to be translated",""
"booktitle04","Smarağdova skryžalj - Tom IV","Emerald Tablet - volume IV","doesn't need to be translated",""
"bookdesc04","The definition of death is the disjunction of the composite, \nbut there is no disjunction of that which is simple, for it is one.\nDeath consists in the separation of the soul from the body,\nbecause anything formed out of two, three,\nor four components must disintegrate, and this is death.\nUnderstand, further, that no complex substance which lacks fire eats, \ndrinks, or sleeps, because in all things which have a spirit \nfire is that which eats.\n","The definition of death is the disjunction of the composite, \nbut there is no disjunction of that which is simple, for it is one.\nDeath consists in the separation of the soul from the body,\nbecause anything formed out of two, three,\nor four components must disintegrate, and this is death.\nUnderstand, further, that no complex substance which lacks fire eats, \ndrinks, or sleeps, because in all things which have a spirit \nfire is that which eats.\n","doesn't need to be translated",""
"booktitle05","Smarağdova skryžalj - Tom V","Emerald Tablet - volume V","doesn't need to be translated",""
"bookdesc05","And the Lord spake, saying,\n'First shalt hou take out the Holy Pin.\nThen, shalt thou count to three. No more. No less.\nThree shalt be the number thou shalt count, \nand the number of the counting shall be three. \nFour shalt thou not count, neither count thou two,\nexcepting that thou then proceed to three.\nFive is right out. Once at the number three, \nbeing the third number be reached, then,\nlobbest thou thy Holy Hand Grenade of Antioch towards \nthy foe, who, being naughty in My sight, shall snuff it.'","And the Lord spake, saying,\n'First shalt hou take out the Holy Pin.\nThen, shalt thou count to three. No more. No less.\nThree shalt be the number thou shalt count, \nand the number of the counting shall be three. \nFour shalt thou not count, neither count thou two,\nexcepting that thou then proceed to three.\nFive is right out. Once at the number three, \nbeing the third number be reached, then,\nlobbest thou thy Holy Hand Grenade of Antioch towards \nthy foe, who, being naughty in My sight, shall snuff it.'","doesn't need to be translated",""
"booktitle06","Smarağdova skryžalj - Tom VI","Emerald Tablet - volume VI","doesn't need to be translated",""
