"","ukr","en","","","NOTES – use \n for newline","max length"
"current_language","Українськаа","English","","","",""
"booktitle00","Emerald Tablet - volume I","Emerald Tablet - volume I","","","doesn't need to be translated",""
"bookdesc00","Tis true without lying, certain and most true.\nThat which is below is like that which is above\nand that which is above is like that which is below\nto do the miracles of one only thing.\nAnd as all things have been and arose from one by the mediation of one: \nso all things have their birth from this one thing by adaptation.","Tis true without lying, certain and most true.\nThat which is below is like that which is above\nand that which is above is like that which is below\nto do the miracles of one only thing.\nAnd as all things have been and arose from one by the mediation of one: \nso all things have their birth from this one thing by adaptation.","","","doesn't need to be translated",""
"booktitle01","Emerald Tablet of Thoth","Emerald Tablet of Thoth","","","doesn't need to be translated",""
"bookdesc01","The necessity of concealing the Art is\none of the chief anxieties of alchemists. \nWe are sworn to secrecy by heaven and earth and hell,\nby the four elements, by the height and the depth,\nby Hermes, by Anubis,and by the howlings of Kerkoros.\nAn oath has been required of us to reveal\nnothing clearly to any uninitiated being.","The necessity of concealing the Art is\none of the chief anxieties of alchemists. \nWe are sworn to secrecy by heaven and earth and hell,\nby the four elements, by the height and the depth,\nby Hermes, by Anubis,and by the howlings of Kerkoros.\nAn oath has been required of us to reveal\nnothing clearly to any uninitiated being.","","","doesn't need to be translated",""
"booktitle02","Emerald Tablet - volume II","Emerald Tablet - volume II","","","doesn't need to be translated",""
"bookdesc02","Thence is born a spirit white as snow,\nand another spirit red as blood,\nwhich two spirits are contained in a third hidden thing.","Thence is born a spirit white as snow, \nand another spirit red as blood,\nwhich two spirits are contained in a third hidden thing.","","","doesn't need to be translated",""
"booktitle03","Emerald Tablet - volume III","Emerald Tablet - volume III","","","doesn't need to be translated",""
"bookdesc03","Heed my warning or death and decay will follow.","Heed my warning or death and decay will follow.","","","doesn't need to be translated",""
"booktitle04","Emerald Tablet - volume IV","Emerald Tablet - volume IV","","","doesn't need to be translated",""
